,site,points,title,description,taster_name,taster_twitter_handle,taster_photo,price,designation,variety,region_1,region_2,province,country,winery
2,winemag-data_1644183643.9850438.json,93,Pol Roger 2015 Rosé Brut  (Champagne),"
                      This rich Champagne highlights ripe Pinot Noir that glories in its red fruits and structure. Just ready to drink, the wine has intensity and well-textured acidity at the end. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,130.0,Rosé Brut,Champagne Blend,Champagne,,Champagne,France,Pol Roger
3,winemag-data_1644183643.9850438.json,93,Russiz Superiore 2020 Friulano (Collio),"
                      Enticing aromas of white stone fruit, hazelnut and graphite along with a delicate whiff of hawthorn waft out of the glass on this elegant white. Savory and linear, the polished palate offers ripe yellow pear, baking spice and white almond alongside fresh acidity.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,29.0,,Friulano,Collio,,Northeastern Italy,Italy,Russiz Superiore
4,winemag-data_1644183643.9850438.json,93,Schramsberg 2016 Blanc de Blancs Sparkling (Green Valley),"
                      From stellar vineyard sites such as Keefer, Dutton and Hawk Hill, this Chardonnay sparkler starts out subdued and sleek, before unveiling complex layers of tart wet stone and acidity. The fruit is quietly layered, a structured foundation of green apple and Meyer lemon.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,95.0,Blanc de Blancs,Sparkling Blend,Green Valley,Sonoma,California,US,Schramsberg
5,winemag-data_1644183643.9850438.json,93,Schramsberg 2017 Querencia Brut Rose Sparkling (Napa Valley),"
                      This fruity and rich wine blends 74% Chardonnay and 26% Pinot Noir from great sites such as Hyde and Poseidon. Peach in color, it tastes of strawberry, peach and tangerine, and is made in a creamy and lush style that finds a freshness boost from plenty of acidity.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,65.0,Querencia Brut Rose,Sparkling Blend,Napa Valley,Napa,California,US,Schramsberg
0,winemag-data_1644183776.3143137.json,85,Amaze NV Brut Rosé Pinot Noir (Serra Gaúcha),"
                      Up front, this 100% Pinot Noir bubbly smells a bit flat and soapy. It's round and mouthfilling on the palate, but a bit clumsy and bulky. Red apple and cherry flavors finish steady enough.                      ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,19.0,Brut Rosé,Pinot Noir,,,Serra Gaúcha,Brazil,Amaze
1,winemag-data_1644183776.3143137.json,85,Astoria NV Extra Dry  (Prosecco Treviso),"
                      This simple sparkler has aromas suggesting ripe white stone fruit. Reflecting the nose, the lively palate offers ripe white peach and candied notes alongside vigorous bubbles and brisk acidity.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,11.0,Extra Dry,Glera,Prosecco Treviso,,Veneto,Italy,Astoria
2,winemag-data_1644183776.3143137.json,85,Delibori 2020 Classico  (Bardolino Chiaretto),"
                      The shy nose doesn't give much away while the simple, diluted palate offers the merest suggestion of sour cherry and peach. Brisk acidity keeps it lively.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,12.0,Classico,Red Blends,Bardolino Chiaretto,,Veneto,Italy,Delibori
3,winemag-data_1644183776.3143137.json,85,Della Vite NV Extra Dry  (Prosecco Treviso),"
                      The shy nose eventually reveals subtle aromas recalling ripe stone fruit, citrus zest and pastry cream. The palate recalls orange rind, bitter medicinal herbs and candied notes alongside a vigorous perlage.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,,Extra Dry,Sparkling Blend,Prosecco Treviso,,Veneto,Italy,Della Vite
4,winemag-data_1644183776.3143137.json,85,Emmitt-Scorsone 2019 Old Vines Grenache (Dry Creek Valley),"
                      From organically grown grapes, this wine is funky and barnyard, with highlights of cherry cola and black pepper.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,28.0,Old Vines,Grenache,Dry Creek Valley,Sonoma,California,US,Emmitt-Scorsone
5,winemag-data_1644183776.3143137.json,85,Famiglia Anselma 2011 Bussia  (Barolo),"
                      This has aromas recalling cellar floor, leather, pipe tobacco and a whiff of violet. Showing the heat of the scorching vintage, the fruit is already dried out on the lean palate, leaving orange zest and the heat of alcohol alongside astringent tannins.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,97.0,Bussia,Nebbiolo,Barolo,,Piedmont,Italy,Famiglia Anselma
0,winemag-data_1644183712.5692675.json,88,Paraduxx 2018 Proprietary Red (Napa Valley),"
                      Made from a majority of Cabernet Sauvignon, with additions of Zinfandel, Petit Verdot, Petite Sirah, Syrah and Cabernet Franc, this is a substantial wine with plush, generous tannins and oak. Cedar, dried herb and tobacco complement the rich black fruit.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,50.0,Proprietary,Red Blends,Napa Valley,Napa,California,US,Paraduxx
1,winemag-data_1644183712.5692675.json,88,Pizzolato NV Brut  (Prosecco),"
                      This has delicate aromas recalling spring blossoms and stone fruit. Certified organic and vegan, the vibrant, lively palate offers banana and green melon alongside brisk acidity.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,18.0,Brut,Glera,Prosecco,,Veneto,Italy,Pizzolato
2,winemag-data_1644183712.5692675.json,88,Planeta 2019  Cerasuolo di Vittoria,"
                      Mature dark-skinned fruit and vineyard dust aromas waft out of the glass along with a whiff of rusty iron. On the smooth palate, relaxed tannins accompany dried cherry, blood orange and steely mineral.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,25.0,,Red Blends,Cerasuolo di Vittoria,,Sicily & Sardinia,Italy,Planeta
3,winemag-data_1644183712.5692675.json,88,Quinta da Lapa 2017 Maria Rapaz Reserve Red (Tejo),"
                      Now mature, this spicy, berry fruit and toasty wine has a bite of pepper, acidity and an attractive red fruit aftertaste. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,17.0,Maria Rapaz Reserve,Portuguese Red,,,Tejo,Portugal,Quinta da Lapa
4,winemag-data_1644183712.5692675.json,88,Quinta da Lapa 2019 Nana White (Tejo),"
                      The wine is all fresh citrus, crisp acidity and bright, complex lightness. It is an attractive wine, lightly textured and ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,15.0,Nana,Portuguese White,,,Tejo,Portugal,Quinta da Lapa
5,winemag-data_1644183712.5692675.json,88,Sanfeletto NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),"
                      Aromas of white spring blossoms and green apple follow through to the soft, creamy palate along with green melon, a dollop of vanilla and bright acidity. A hint of bitter almond marks the close.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,18.0,Brut,Glera,Conegliano Valdobbiadene Prosecco Superiore,,Veneto,Italy,Sanfeletto
0,winemag-data_1644183721.8235202.json,89,Vaccaro 2020 Lisuli Red (Sicilia),"
                      This organically farmed Nero d'Avola opens with aromas of dark-skinned fruit, culinary spice and underbrush. The savory, light-bodied palate offers juicy black cherry, star anise and cinnamon alongside pliant tannins. Enjoy through 2023.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,18.0,Lisuli,Red Blends,Sicilia,,Sicily & Sardinia,Italy,Vaccaro
1,winemag-data_1644183721.8235202.json,89,Ventisquero 2018 Grey Glacier Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley),"
                      Spicy aromas of wild herbs, desert brush and dark-berry fruits comprise the nose on this well-packed Cabernet that feels a touch scratchy and bumpy. Black-plum flavors are generously backed by spice and herbal notes. It finishes with mild heat and a touch of juniper. Drink through 2023.                      ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,24.0,Grey Glacier Single Block Trinidad Vineyard,Cabernet Sauvignon,,,Maipo Valley,Chile,Ventisquero
2,winemag-data_1644183721.8235202.json,89,Wente 2020 Morning Fog Chardonnay (Central Coast),"
                      Brisk lemon and dried citrus aromas meet with crisp pear and light butter on the nose of this bottling. There's ample freshness to the palate, where jasmine and pear-juice flavors are sprinkled with lemon and melon elements.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,18.0,Morning Fog,Chardonnay,Central Coast,Central Coast,California,US,Wente
3,winemag-data_1644183721.8235202.json,89,Wines & Winemakers 2020 Pegos Claros Blanc de Noirs Castelão (Palmela),"
                      Castelao vinified as a white wine, this is partially oak fermented and aged. The result is ripe and textured, with apple purée and spice flavors. It has a hint of toast that has broadened the wine attractively. Drink now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,30.0,Pegos Claros Blanc de Noirs,Castelão,,,Palmela,Portugal,Wines & Winemakers
4,winemag-data_1644183721.8235202.json,89,Zonte's Footstep 2018 Age of Enlightenment Shiraz (McLaren Vale),"
                      Cherries, peppery spice and vanillin oak lead the charge on this Shiraz. The palate would be medium bodied if it weren't for a powerful grip of muscular tannins. It's juxtaposed by juicy fruit, making this wine appealing to drink now with a meal or cellar for several years.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,58.0,Age of Enlightenment,Shiraz,McLaren Vale,,South Australia,Australia,Zonte's Footstep
5,winemag-data_1644183721.8235202.json,89,Cà di Rajo 2020 Cuvée del Fondatore Brut  (Conegliano Valdobbiadene Prosecco Superiore),"
                      Aromas of Granny Smith apple, white spring blossoms and bitter almond follow through to the dry, racy palate along with green melon and citrus. Crisp acidity and a refined perlage provide balance and support.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,13.0,Cuvée del Fondatore Brut,Glera,Conegliano Valdobbiadene Prosecco Superiore,,Veneto,Italy,Cà di Rajo
0,winemag-data_1644183714.7206914.json,88,Bisol 2020 Jeio Rosé Brut  (Prosecco),"
                      Fun and refreshing, this bright, easygoing sparkler offers flavors recalling creamy white peach, red berries and a dollop of pastry cream. Crisp acidity and a lively perlage provide the backdrop.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,17.0,Jeio Rosé Brut,Sparkling Blend,Prosecco,,Veneto,Italy,Bisol
1,winemag-data_1644183714.7206914.json,88,Four Vines 2020 Naked Chardonnay (Central Coast),"
                      Fresh and clean aromas of white-flower blossoms, lime juice and citrus peel show on the nose of this bottling. Broad melon and pome-fruit flavors show on the palate, which is quite salty as well.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,11.0,Naked,Chardonnay,Central Coast,Central Coast,California,US,Four Vines
2,winemag-data_1644183714.7206914.json,88,Adega Cooperativa do Cartaxo 2017 Coudel Mor Reserva Red (Tejo),"
                      A richly structured wine that has fine layers of black fruit and acidity. It is lightly spicy, perfumed and ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,18.0,Coudel Mor Reserva,Portuguese Red,,,Tejo,Portugal,Adega Cooperativa do Cartaxo
3,winemag-data_1644183714.7206914.json,88,Aimery NV Grande Cuvée 1531 Brut Sparkling (Crémant de Limoux),"
                      Made from 55% Chardonnay, 30% Chenin Blanc and 15% Pinot Noir, this entices with aromas of lightly baked apple, toasted brioche and orange oil. The palate is bright and effervescent, with a plush mousse and ample acidity to keep it all balanced and refreshing through the close.                      ",Lauren Buzzeo,@laurbuzz,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Lauren_Buzzeo_300x450.jpg,18.0,Grande Cuvée 1531 Brut,Sparkling Blend,Crémant de Limoux,,Languedoc-Roussillon,France,Aimery
4,winemag-data_1644183714.7206914.json,88,Antigal 2017 Aduentus Petit Blend Red (Mendoza),"
                      Toasty aromas of creosote and campfire embers blanket secondary notes of blackberry and soy sauce. This blend of Malbec, Cabernet Franc and Petit Verdot feels thick, soupy and viscous. Flavors of cassis, chocolate and oak spice finish peppery and jammy, with a raisiny aftertaste.                      ",Michael Schachner,@wineschach,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Michael_Schachner_300x450.jpg,20.0,Aduentus Petit Blend,Bordeaux-style Red Blend,Mendoza,,Mendoza Province,Argentina,Antigal
5,winemag-data_1644183714.7206914.json,88,Asuncion Ridge 2018 Pommard Clone Pinot Noir (San Luis Obispo County),"
                      Cola and dark-cherry aromas meet with pine needle on the nose of this clonal showcase. The wine lands with a hearty presence on the palate, where tart blackberry and forest herbs play against a tart edge.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,75.0,Pommard Clone,Pinot Noir,San Luis Obispo County,Central Coast,California,US,Asuncion Ridge
0,winemag-data_1644183671.168298.json,92,Le Brun de Neuville NV Autolyse Noirs et Blancs  (Champagne),"
                      This producer, situated in the small region of the Côte de Sézanne, has produced an appealing blend of Pinot Noir and Chardonnay. Bright acidity is balanced by ripe red-apple and spice flavors, giving a rich Champagne that is ready to drink.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,125.0,Autolyse Noirs et Blancs,Champagne Blend,Champagne,,Champagne,France,Le Brun de Neuville
1,winemag-data_1644183671.168298.json,92,Marcazzan Fabio 2016 Pas Dosé  (Lessini Durello),"
                      Showing class and personality, this lovely sparkler opens with enticing aromas of chamomile, Alpine herbs, citrus and white stone fruit. Made by one of the youngest vignerons in the denomination, it has a dry, savory palate featuring ripe yellow pear, apple and unsweetened lemon drop alongside bright acidity. A saline mineral note lends depth to the lingering finish while an extremely refined perlage adds finesse. This is a producer to watch.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,,Pas Dosé,Durella,Lessini Durello,,Veneto,Italy,Marcazzan Fabio
2,winemag-data_1644183671.168298.json,92,Mure 2019 Orchidées Sauvages Gewurztraminer (Alsace),"
                      Lychee and gardenia on the nose are complemented by savory notes of dill and petrol. This clean, acid-driven wine has nice weight on the palate, which perfectly blends those lychee and dill notes. Floral characteristics and a hint of vanilla cookie come through on the generous finish.                      ",Layla Schlack,@laylaschlack,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/layla_shlack_300x450.jpg,22.0,Orchidées Sauvages,Gewürztraminer,Alsace,,Alsace,France,Mure
3,winemag-data_1644183671.168298.json,92,Pol Roger NV Rich Demi-Sec  (Champagne),"
                      This off-dry Champagne is very much in the house style, rich with layers of mature fruits. A ripe, full wine, it offers creamed apples and white peaches that are delicious now.                      ",Roger Voss,@vossroger,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/RogerVoss_CreditAlainBenoit_300x450.jpg,70.0,Rich Demi-Sec,Champagne Blend,Champagne,,Champagne,France,Pol Roger
4,winemag-data_1644183671.168298.json,92,Robert Biale 2019 Grande Vineyard Zinfandel (Napa Valley),"
                      This wine is from an important historic site farmed by the Rossi family since 1920. Wood spice accents a soft, lush palate of blueberry and blackberry highlights, boosted by fresh, persistent acidity. Dried herb, cocoa dust and violet add to the complexity.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,58.0,Grande Vineyard,Zinfandel,Napa Valley,Napa,California,US,Robert Biale
5,winemag-data_1644183671.168298.json,92,Cave de Ribeauvillé 2018 Osterberg Grand Cru Riesling (Alsace),"
                      Grapefruit pith, pineapple and wet slate charm on the nose of this wine. A stony, grapefruit palate gets some softness from floral notes and a plush texture. Refreshing acidity tickles the tongue long into the finish.                      ",Layla Schlack,@laylaschlack,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/layla_shlack_300x450.jpg,50.0,Osterberg Grand Cru,Riesling,Alsace,,Alsace,France,Cave de Ribeauvillé
0,winemag-data_1644183783.8354433.json,94,Paul Dolan 2019 Made with Organic Grapes Cabernet Sauvignon (Mendocino County),"
                      This reasonably priced wine is arguably one of Mendocino County's best Cabernets, year in and year out. Aromatic, complex, nicely ripe and full in body, it starts with enticing aromas of toasted oak, pencil shavings and cigar box followed by deep layers of black cherry, blueberry, anise and cocoa. Moderate, well-integrated tannins beef up the texture nicely and bode well for mid-term aging. Best from 2026.                      ",Jim Gordon,@gordone_cellars,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Jim_Gordon_BillReitzel_300x450.jpg,30.0,Made with Organic Grapes,Cabernet Sauvignon,Mendocino County,Mendocino County,California,US,Paul Dolan
1,winemag-data_1644183783.8354433.json,94,Soter 2018 Origin Series Pinot Noir (Eola-Amity Hills),"
                      One of five AVA-specific Pinots in this new series, this intensely aromatic offering bursts open with lush scents of blackberries, cocoa and baking spices. The grapes were sourced from Zena Crown and the Soter Vineyard, and 20% were whole cluster fermented. Dense and bright, it's a compelling and spicy wine with exceptional balance.                      ",Paul Gregutt,@paulgwine,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Paul_Greggutt_300x450.jpg,60.0,Origin Series,Pinot Noir,Eola-Amity Hills,Willamette Valley,Oregon,US,Soter
2,winemag-data_1644183783.8354433.json,94,Amici 2018 Flora Marie Vineyard Chardonnay (Russian River Valley),"
                      Full of salty minerality, this impressive white offers a well-diversified and integrated wealth of fruit, from peach and pear to pineapple, changing as it goes. The full-bodied lushness of texture remains fresh and exuberant throughout, showing a great deal of finesse.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,85.0,Flora Marie Vineyard,Chardonnay,Russian River Valley,Sonoma,California,US,Amici
3,winemag-data_1644183783.8354433.json,94,Far Mountain 2019 Myrna Chardonnay (Sonoma Valley),"
                      High-toned and floral, this wine offers a generous mouthfeel of salty oak, mineral and wet stone. The elegant fruit profile combines pear, apple and Meyer lemon with ease, complementing the body weight with ample acidity.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,60.0,Myrna,Chardonnay,Sonoma Valley,Sonoma,California,US,Far Mountain
4,winemag-data_1644183783.8354433.json,94,MacRostie 2018 Charles Heintz Vineyard Chardonnay (Green Valley),"
                      From the great coastal site, this white sings in fruitful intensity and complex layers of flavor, a burst of Meyer lemon and grapefruit crispness complemented by richer undertones of Meyer lemon meringue and toasted pineapple.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,46.0,Charles Heintz Vineyard,Chardonnay,Green Valley,Sonoma,California,US,MacRostie
0,winemag-data_1644183618.743152.json,92,Hickinbotham 2018 Trueman Cabernet Sauvignon (McLaren Vale),"
                      This vintage of Trueman emerges as a quintessential example of McLaren Vale Cab, round in shape and fruit forward, backed by spice and savory herbs. It offers ripe blackberry, violet, tobacco leaf, olive and peppery spice flavors. In the mouth the plump fruit is tempered by the variety's typically powerful tannins. The juxtaposition works well, although it lacks some of the elegance and complexity inherent in the cooler 2017 vintage. Drink 2022–2036.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,75.0,Trueman,Cabernet Sauvignon,McLaren Vale,,South Australia,Australia,Hickinbotham
1,winemag-data_1644183618.743152.json,92,Kay Brothers 2018 Cuthbert Amery Vineyard Cabernet Sauvignon (McLaren Vale),"
                      A broody, savory Cab from one of McLaren Vale's more historic vineyards, this shows a dusty, old-school polish to accompany the vine age. Mint, dark chocolate, plum and cherry fruit and a backbone of pencil lead and dried herbs make up the nose, while the palate follows a similar flavor trajectory. Muscular, raspy tannins highlight the dusty, herbal nuances but don't overshadow the plush fruit. Don't touch this anytime soon. Drink 2023–2041.                      ",Christina Pickard,@ckpickard,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Christina_Pickard_300x450.jpg,60.0,Cuthbert Amery Vineyard,Cabernet Sauvignon,McLaren Vale,,South Australia,Australia,Kay Brothers
2,winemag-data_1644183618.743152.json,92,Devison 2019 GPR Red (Columbia Valley (WA)),"
                      This is a blend of 56% Syrah, 40% Grenache and 4% Mourvèdre, coming from a number of top sites that include Boushey, Southwind, Stoney Vine and Lawrence. Aromas of berry, pipe tobacco, ground pepper and fresh herbs lead to center-focused fruit flavors that are full feeling but still light on their feet. There's plenty of structure behind it all.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,29.0,GPR,Rhône-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Devison
3,winemag-data_1644183618.743152.json,92,Devison 2019 Phantom Lamb Syrah (Royal Slope),"
                      The Royal Slope is quickly establishing itself as a premier site for Syrah. This is another example. The aromas boast notes of smoked meat, savory herb, coffee, graphite, medicine and dark fruit. Full flavors follow, combining fruit and barrel, with Amaro-like bitters on the finish. There's a whole lot of structure behind it all. Give it time in the cellar to see it at its best. Best after 2025.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,54.0,Phantom Lamb,Syrah,Royal Slope,Columbia Valley,Washington,US,Devison
4,winemag-data_1644183618.743152.json,92,Sextant 2018 Night Watch Red (Paso Robles),"
                      Savory aromas of smoked and roasted meats and iodine grow most elegant with hints of violet on the nose of this blend of 44% Zinfandel, 34% Petite Sirah and 22% Syrah. There's a strong array of purple fruits and flowers on the nose, from grape and acai to violet, with polished tannins that keep the wine in line.                      ",Matt Kettmann,@mattkettmann,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Matt_Kettman_300x450.jpg,54.0,Night Watch,Red Blends,Paso Robles,Central Coast,California,US,Sextant
5,winemag-data_1644183618.743152.json,92,Davis Family 2019 Soul Patch Chardonnay (Russian River Valley),"
                      This is an earthy, herbal and fresh white wine, the midpalate succulent in melon, pear and crisp apple. Focused acidity keeps it energetic and lengthy, textured and well integrated in spicy oak.                      ",Virginie Boone,@vboone,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Virgine_Boone_300x450.jpg,38.0,Soul Patch,Chardonnay,Russian River Valley,Sonoma,California,US,Davis Family
0,winemag-data_1644183720.414101.json,89,Succession 2019 Syrah (Columbia Valley (WA)),"
                      This is a blend of Quintessence, Candy Mountain and Ancient Stones vineyard fruit. The aromas are subdued and primary, with notes of flower, plum, ash and herb, along with whiffs of black pepper. The palate is all primary fruit, dipping in the middle before coming back together on the finish.                      ",Sean P. Sullivan,@wawinereport,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Sean_Sullivan_300x450.jpg,47.0,,Syrah,Columbia Valley (WA),Columbia Valley,Washington,US,Succession
1,winemag-data_1644183720.414101.json,89,Tenuta del Pajaru 2019 Picuraru Organic Primitivo (Puglia),"
                      A dense, brambly nose of dark cherry and blackberry aromas meets lifted elements of crushed black pepper and potpourri spice. It's plush and supple in feel, yet there's ample power behind all the rich berry tones thanks to lasting, fresh acidity.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,26.0,Picuraru Organic,Primitivo,Puglia,,Southern Italy,Italy,Tenuta del Pajaru
2,winemag-data_1644183720.414101.json,89,Vetrère 2018 Tempio di Giano Negroamaro (Salento),"
                      This red smartly matches intense brambleberry fruit with anise and orange peel accents. It's plump and pleasantly rounded on the palate, wrapped in velvety tannins and bright acidity for support.                      ",Alexander Peartree,@apatrone23,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/Alex_Peartree_300x450.jpg,,Tempio di Giano,Negroamaro,Salento,,Southern Italy,Italy,Vetrère
3,winemag-data_1644183720.414101.json,89,Vigna di Pettineo 2019 Superiore Grillo (Sicilia),"
                      Aromas of French oak, mature pear and eucalyptus form the nose. Made with organically cultivated grapes, the linear, vibrant palate offers crushed wild herbs, grapefruit, vanilla and a hint of butterscotch before closing on a note of salted almond.                      ",Kerin O’Keefe,@kerinokeefe,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/11/kerin_O_Keefe_300x450.jpg,20.0,Superiore,Grillo,Sicilia,,Sicily & Sardinia,Italy,Vigna di Pettineo
